Time,Temp(*C),Humid(%)
20:38:20,24.7,68.4
20:38:30,24.6,68.4
20:38:41,24.7,68.4
20:38:51,24.6,68.3
20:39:04,24.7,68.6
20:39:15,24.8,68.6
20:39:25,24.7,68.7
20:39:36,24.8,68.6
20:39:49,24.8,69.5
20:39:59,24.9,69.3
20:40:10,24.8,68.6
20:40:21,24.9,68.3
20:40:34,25.0,68.0
20:40:44,25.0,68.0
20:40:55,25.0,67.7
20:41:08,25.0,67.6
20:41:18,25.0,67.5
20:41:31,25.1,67.4
20:41:42,25.1,67.3
20:41:52,25.1,67.2
20:42:03,25.1,67.2
20:42:13,25.1,67.1
20:42:24,25.1,67.1
20:42:35,25.1,67.2
20:42:45,25.1,67.1
20:42:56,25.1,67.1
20:43:09,25.1,67.2
20:43:19,25.1,66.8
20:43:30,25.1,66.2
20:43:40,25.1,65.6
20:43:51,25.0,65.3
20:44:01,25.0,65.1
20:44:12,25.0,64.6
20:44:22,24.9,64.3
20:44:36,24.8,64.5
20:44:46,24.9,64.5
20:44:57,24.9,64.0
20:45:07,24.9,63.4
20:45:18,24.8,63.0
20:45:28,24.8,62.2
20:45:39,24.7,61.7
20:45:49,24.7,61.3
20:46:05,24.6,60.9
20:46:15,24.5,60.8
20:46:26,24.5,60.6
20:46:36,24.5,60.6
20:46:50,24.4,63.6
20:48:22,25.2,59.6
20:48:33,25.1,59.6
20:48:43,25.1,59.6
20:48:54,25.0,59.5
20:49:04,24.9,59.6
20:49:15,24.9,59.7
20:49:26,24.9,59.8
20:49:36,24.9,60.0
20:49:47,24.8,60.0
20:49:57,24.8,60.1
20:50:08,24.7,60.2
20:50:18,24.7,60.5
20:50:29,24.6,60.6
20:50:39,24.6,60.8
20:50:50,24.6,61.0
20:51:00,24.5,61.4
20:51:11,24.5,61.8
20:51:21,24.5,62.2
20:51:32,24.5,62.6
20:51:42,24.5,62.8
20:51:53,24.5,63.3
20:52:04,24.4,63.4
20:52:14,24.4,63.9
20:52:25,24.5,64.2
20:52:35,24.5,64.5
20:52:48,24.4,64.7
20:52:59,24.5,65.0
20:53:09,24.4,65.3
20:53:20,24.4,65.5
20:53:30,24.4,65.7
20:53:41,24.5,65.9
20:53:51,24.5,66.1
20:54:02,24.4,66.0
20:54:13,24.5,66.2
20:54:23,24.4,66.3
20:54:34,24.5,66.5
20:54:44,24.5,66.6
20:54:55,24.5,66.7
20:55:05,24.5,66.8
20:55:16,24.5,67.0
20:55:26,24.5,67.1
20:55:39,24.4,67.3
20:55:50,24.5,67.5
20:56:00,24.4,67.6
20:56:11,24.5,67.7
20:56:21,24.4,67.8
20:56:32,24.3,67.9
20:56:43,24.4,68.1
20:56:56,24.4,68.2
20:57:06,24.3,68.1
20:57:17,24.4,68.3
20:57:27,24.3,68.2
20:57:38,24.4,68.4
20:57:48,24.4,68.5
20:57:59,24.4,68.6
20:58:12,24.3,68.8
20:58:22,24.4,68.9
20:58:33,24.4,69.2
20:58:43,24.4,69.2
20:58:54,24.4,69.3
20:59:05,24.3,69.2
20:59:18,24.4,69.3
20:59:28,24.4,69.8
20:59:39,24.5,69.6
20:59:49,24.4,69.4
21:00:00,24.4,69.4
21:00:10,24.5,69.5
21:00:21,24.4,69.5
21:00:31,24.4,69.5
21:00:42,24.4,69.6
21:00:52,24.4,69.6
21:01:03,24.4,69.7
21:01:14,24.4,69.8
21:01:24,24.4,69.8
21:01:35,24.4,69.8
21:01:45,24.4,69.8
21:01:56,24.4,69.9
21:02:06,24.4,70.2
21:02:17,24.5,70.3
21:02:30,24.5,70.0
21:05:54,24.8,67.4
21:05:59,24.8,67.3
21:06:05,24.8,66.9
21:06:11,24.8,66.7
21:06:16,24.8,66.5
21:06:22,24.8,66.2
21:06:35,24.7,65.9
21:06:40,24.7,66.1
21:06:46,24.7,66.0
21:06:51,24.7,65.9
21:06:57,24.7,65.9
21:07:02,24.7,65.9
21:07:08,24.7,65.9
21:07:13,24.7,65.9
21:07:19,24.6,65.8
21:07:24,24.7,65.8
21:07:33,24.6,65.9
21:07:41,24.6,66.0
21:07:46,24.6,66.0
21:07:52,24.6,66.2
21:07:57,24.6,66.2
21:08:05,24.6,66.1
21:08:11,24.6,66.0
21:08:16,24.6,66.0
21:08:22,24.6,66.0
21:08:30,24.5,65.9
21:08:35,24.6,66.0
21:08:41,24.5,65.9
21:08:47,24.5,65.9
21:08:55,24.4,65.9
21:09:00,24.5,65.9
21:09:08,24.4,66.0
21:09:21,24.5,66.1
21:09:29,24.4,66.0
21:09:35,24.4,66.0
21:09:40,24.4,66.0
21:09:46,24.4,66.0
21:09:51,24.4,66.0
21:10:03,24.4,66.0
21:10:08,24.4,66.0
21:10:14,24.4,65.9
21:10:22,24.4,65.9
21:10:27,24.4,65.9
21:10:33,24.4,65.9
21:10:38,24.4,65.8
21:10:44,24.3,65.7
21:10:49,24.3,65.7
21:10:55,24.3,65.7
21:11:00,24.3,65.7
21:11:06,24.3,65.7
21:11:11,24.3,65.6
21:11:20,24.3,65.6
21:11:25,24.3,65.6
21:11:31,24.3,65.6
21:11:36,24.3,65.6
21:11:42,24.3,65.5
21:11:50,24.3,65.5
21:11:55,24.3,65.4
21:12:01,24.3,65.4
21:12:06,24.3,65.5
21:12:12,24.2,65.4
21:12:17,24.3,65.4
21:12:23,24.2,65.3
21:12:28,24.2,65.4
21:12:34,24.2,65.5
21:12:42,24.2,65.3
21:12:50,24.2,65.3
21:12:56,24.2,65.3
21:13:01,24.2,65.2
21:13:07,24.2,65.2
21:13:12,24.2,65.3
21:13:18,24.1,65.2
21:13:23,24.2,65.3
21:13:29,24.2,65.4
21:13:34,24.2,65.4
21:13:40,24.2,65.3
21:13:45,24.1,65.2
21:13:51,24.1,65.2
21:13:56,24.1,65.2
21:14:02,24.2,65.2
21:14:08,24.1,65.2
21:14:13,24.1,65.2
21:14:19,24.2,65.2
21:14:24,24.2,65.2
21:14:30,24.1,65.0
21:14:35,24.2,65.1
21:14:41,24.1,65.0
21:14:49,24.1,65.1
21:14:54,24.2,65.1
21:15:00,24.1,65.1
21:15:05,24.2,65.1
21:15:11,24.2,65.2
21:15:16,24.2,65.2
21:15:22,24.2,65.2
21:15:27,24.2,65.2
21:15:36,24.2,65.3
21:15:41,24.2,65.3
21:15:47,24.2,65.4
21:15:52,24.2,65.5
21:15:58,24.2,65.7
21:16:03,24.2,65.7
21:16:11,24.2,65.9
21:16:17,24.2,66.0
21:16:22,24.2,66.0
21:16:28,24.2,66.2
21:16:33,24.2,66.3
21:16:39,24.2,66.7
21:16:44,24.2,66.8
21:16:50,24.3,67.2
21:16:56,24.2,67.2
21:17:04,24.2,67.4
21:17:09,24.2,67.5
21:17:17,24.2,67.7
21:17:23,24.2,67.9
21:17:28,24.1,67.8
21:17:34,24.2,67.9
21:17:39,24.2,68.0
21:17:45,24.2,68.1
21:17:50,24.2,68.1
21:17:56,24.2,68.2
21:18:01,24.2,68.4
21:18:07,24.2,68.4
21:18:13,24.2,68.6
21:18:18,24.2,68.6
21:18:26,24.2,68.7
21:18:34,24.2,68.7
21:18:40,24.2,68.8
21:18:45,24.2,68.8
21:18:51,24.2,68.8
21:18:56,24.2,68.9
21:19:02,24.2,68.9
21:19:07,24.2,68.9
21:19:15,24.2,69.0
21:19:21,24.2,69.0
21:19:26,24.1,69.1
21:19:32,24.2,69.2
21:19:38,24.2,69.3
21:19:46,24.2,69.3
21:19:54,24.2,69.4
21:20:02,24.2,69.5
21:20:07,24.2,69.5
21:20:13,24.2,69.5
21:20:21,24.2,69.5
21:20:26,24.2,69.5
21:20:32,24.2,69.5
21:20:37,24.2,69.6
21:20:43,24.2,69.8
21:20:54,24.2,69.9
21:20:59,24.2,70.0
21:21:05,24.2,70.1
21:21:10,24.2,70.1
21:21:16,24.2,70.2
21:21:21,24.3,70.2
21:21:27,24.2,70.1
21:21:32,24.2,70.1
21:21:38,24.2,70.2
21:21:43,24.2,70.2
21:21:49,24.2,70.2
21:22:37,24.2,70.4
21:23:26,24.3,70.4
21:24:14,24.3,70.4
21:24:20,24.3,70.4
21:24:25,24.3,70.4
21:24:31,24.4,70.4
21:24:36,24.4,70.4
21:24:42,24.4,70.3
21:24:47,24.4,70.3
21:24:53,24.4,70.3
21:25:01,24.4,70.2
21:25:07,24.4,70.2
21:25:12,24.4,70.1
21:25:18,24.4,70.2
21:25:23,24.4,70.2
21:25:29,24.4,70.2
21:25:34,24.4,70.1
21:25:42,24.4,70.1
21:25:50,24.4,70.1
21:25:56,24.4,70.1
21:26:01,24.5,70.1
21:26:07,24.4,70.0
21:26:15,24.4,70.0
21:26:20,24.4,70.0
21:26:26,24.4,69.9
21:26:34,24.5,69.9
21:26:40,24.4,69.8
21:26:45,24.5,69.8
21:26:51,24.4,69.7
21:26:56,24.4,69.7
21:27:02,24.4,69.7
21:27:07,24.5,69.8
21:27:13,24.4,69.7
21:27:18,24.5,69.8
21:27:24,24.5,69.8
21:27:32,24.5,69.7
21:27:37,24.5,69.7
21:27:46,24.4,69.6
21:27:51,24.4,69.5
21:27:57,24.4,69.5
21:28:05,24.4,69.4
21:28:10,24.4,69.3
21:28:16,24.4,69.2
21:28:21,24.4,69.1
21:28:27,24.4,68.9
21:28:32,24.4,68.6
21:28:43,24.5,68.3
21:28:48,24.4,68.2
21:28:56,24.4,68.0
21:29:02,24.4,67.7
21:29:08,24.4,67.7
21:29:13,24.4,67.4
21:29:19,24.4,67.4
21:29:24,24.4,67.0
21:29:30,24.4,67.0
21:29:35,24.4,66.7
21:29:41,24.4,66.6
